Nome,Ano,GeoLoc,Descricao
Batalhas da Fortaleza Capuzzo,1940,"31.580833, 25.052222",O Fort Capuzzo era um forte da Colônia Itálico-Libanesa que foi atacado Pelos Inglêses durante a Operação Compasso.
Invasão italiana do Egito,1940,"30.820760, 25.295614",Invazão do exercito italiano presente na Libya ao Egito.
Ataque em Nibeiwa,1940,"31.383333, 25.883333",Os britânicos invadiram um forte italiano durante a operação Compasso.
Batalha de Sidi Barrani,1940,"31.611111, 25.92568","A batalha que deu inicio a Operação Compasso, com os exercitos Britânicos invadindo a margem Ocidental do deserto Egipcio."
Cerco de Giarabub,1940,"29.741735, 24.516839",Um cerco ao Oasis/Forte de Giarabub organizado pelo Exercito Britânico que durou até março de 1941.
Batalha de Bardia,1941,"31.757995, 25.079219","O major-general australiano Iven Mackay, líder da 6ª divisão do exército, atacou a cidade líbia de Bardia, que era ocupada pelo Exército Italiano, e foi apoiado por forças aéreas e navais aliadas e ainda contou com a ajuda de artilharia pesada."
Batalha de Mechili,1941,"32.183333, 22.266667",Essa batalha ocorreu entre a Comunidado das Nações e o exercito Italiano que controlava o local durante a operação Compasso.
Captura de Kufra,1941,"24.183333, 23.283333",Cufra era uma provincia/colônia Libio Italiana. Foi capturada pelas forças aliadas durante a campanha no deserto na operação compasso.
Batalha de Beda Fomm,1941,"31.239167, 20.309444","As forças britânicas comandadas pelo General O’Connor cercam e aniquilam as últimas unidades blindadas do Marechal Graziani. Chegava ao final, assim, a extraordinária campanha(Operação Compasso) que, três meses antes, os ingleses haviam iniciado na fronteira do Egito."
Operação Sonnenblume,1941,"32.068176, 23.941751","Houve a necessidade da intervenção alemã para salvar as fragmentadas forças italianas que ainda resistiam no norte da África. Assim, o Exército Alemão organizou uma força expedicionária comandada pelo general Ewin Rommel, que ficou popularmente conhecida com o nome “Afrika Korps”. Denominada “Operação Sonnenblume”."
Operação Appearance,1941,"9.562389, 44.077013","Operação Aparência foi um desembarque britânico na Somália Britânica em 16 de março de 1941 contra as tropas do exército italiano. Sete meses antes, em agosto de 1940, os britânicos haviam se retirado da Somália Britânica após uma invasão das forças italianas."
Ataque a Mers-el-Kébir,1940,"35.722219, -0.710527",A operação foi basicamente um ataque naval britânico a navios da marinha francesa na base em Mers El Kébir na costa da Argélia Francesa. 
Cerco de Malta,1940,"35.9, 14.4","Foi uma campanha militar no Teatro Mediterrâneo da Segunda Guerra Mundial. De 1940 a 1942, a luta pelo controle do arquipélago estrategicamente importante de Malta provocou o embate das forças aéreas e navais da Itália Fascista e Alemanha Nazista contra a Força Aérea e a Marinha Real Britânica."
Invasão italiana da Grécia,1940,"39.074208, 21.824312","A Itália atacou a Grécia através da Albânia, mas semanas depois teve que recuar. De fato, estava perdendo a guerra para os gregos. Então, Benito Mussolini pediu ajuda a Hitler, e esta ajuda tinha que chegar logo, pois os italianos não só haviam sido repelidos de volta a suas linhas de partida, como estavam em vias de perder a Albânia para os gregos"
Batalha de Tarento,1940,"40.57409, 17.242998","Foi uma batalha naval que ocorreu na noite de 11 – 12 de Novembro de 1940, durante a Segunda Guerra Mundial. A Royal Navy lançou a primeira batalha naval totalmente combatida por aviões da história, voando um pequeno número de aviões de um único porta-aviões no Mediterrâneo e atacando a frota Italiana em Tarento."
Operação Strafgericht,1941,"44.786568, 20.448922","Foi uma operação militar alemã realizada pela Luftwaffe em Abril de 1941, na qual a cidade de Belgrado, capital do Reino da Jugoslávia, foi bombardeada. Este evento ocorreu nos primeiros dias da invasão da Jugoslávia pelas forças do eixo."
Batalha de Creta,1941,"35, 25","A Batalha de Creta iniciou-se na manhã de 20 de maio de 1941, momento em que teve início a Operação Mercúrio e a Alemanha lançou um grande número de para-quedistas na ilha de Creta. Apesar da operação ser considerada um sucesso, as grandes baixas infligidas pelas forças aliadas na tentativa de manter suas posições fizeram com que a Alemanha não realizasse mais quaisquer outras missões com tropas aerotransportadas."
Operação Husky,1943,"37.566667, 14.266667","A Invasão da Sicília pelos Aliados, codinome Operação Husky, foi uma grande campanha durante a Segunda Guerra Mundial, quando as potências ocidentais tomaram a Sicília das forças do Eixo (Itália Fascista e Alemanha Nazista). A operação contou com um grande desembarque anfíbio e lançamento de tropas paraquedistas, seguido de seis semanas de intensos combates no solo. Esta foi a primeira etapa da invasão da Itália pelos Aliados."
Invasão Aliada da Itália,1943,"39, 16.5","A Invasão da Itália pelos Aliados foi um grande desembarque na costa italiana que ocorreu em 3 de setembro de 1943, por soldados do 15º Grupo de Exército comandados pelo General Harold Alexander durante a Segunda Guerra Mundial. "
Operação Retribuição,1941,"44.815842, 20.420765","A Operação Strafgericht (em português: Operação Retribuição), também conhecida por Operação Punição, foi uma operação militar alemã realizada pela Luftwaffe em Abril de 1941, na qual a cidade de Belgrado, capital do Reino da Jugoslávia, foi bombardeada. Este evento ocorreu nos primeiros dias da invasão da Jugoslávia pelas forças do eixo."
Batalha de Ortona,1943,"42.35, 14.4","A Batalha de Ortona foi uma batalha pequena, contudo extremamente feroz, lutada em Ortona, na costa do mar Adriático na parte central da Itália, pela 1ª Divisão Canadense contra um batalhão de elite dos paraquedistas alemães Fallschirmjäger encarregados de defender a cidade, entre 20 e 28 de dezembro de 1943. Considera-se essa ação uma das maiores realizações das armas canadenses durante a guerra."
Operação Shingle,1944,"41.449595, 12.619725","A Operação Shingle foi uma operação anfíbia conduzida pelos Aliados durante a Campanha da Itália contra forças alemãs e italianas nas cidades de Anzio e Nettuno, na costa oeste da Itália. A ofensiva foi comandada pelo general americano John P. Lucas que pretendia flanquear as tropas alemães na Linha de inverno e atacar Roma. A batalha na região de Anzio duraria meses"
Ofensiva do Sarre,1939,"49.383333, 6.833333","A Ofensiva do Sarre foi uma operação por parte das forças francesas para atacar e invadir a Alemanha Nazista, durante a fase inicial da Segunda Guerra Mundial, que ocorreu entre os dias 7 e 16 de Setembro de 1939. O plano consistia em 40 divisões, incluindo três divisões mecanizadas, 78 regimentos de artilharia e 40 batalhões de tanques para assistir aos apelos da Polónia que estava sendo invadida pelos alemães."
Operação Weserübung,1940,"56, 10","A Operação Weserübung foi o assalto alemão sobre as nações-neutras da Dinamarca e Noruega em 1940, durante a Segunda Guerra Mundial. Esse ataque marcou o início da Campanha da Noruega, que seria ganha pelos alemães. O nome da operação significa Exercício no Weser, sendo este um rio alemão. Foi planejada pelo general alemão Nikolaus von Falkenhorst, a pedido de Hitler."
Operação Weserübung,1941,"61, 9","A Operação Weserübung foi o assalto alemão sobre as nações-neutras da Dinamarca e Noruega em 1940, durante a Segunda Guerra Mundial. Esse ataque marcou o início da Campanha da Noruega, que seria ganha pelos alemães. O nome da operação significa Exercício no Weser, sendo este um rio alemão. Foi planejada pelo general alemão Nikolaus von Falkenhorst, a pedido de Hitler. A operação alemã falhou em capturar a rainha, e a defesa dos aeroportos capturados não se concretizou devido a um contra-ataque das forças holandesas."
Batalha de Haia,1940,"52.083333, 4.3","Paraquedistas foram lançados em três pontos estratégicos diferentes à volta da cidade de Haia, com ordem para capturar os aeroportos da cidade e a própria cidade. Depois de tomar a cidade, o plano seria forçar a Rainha Guilhermina dos Países Baixos a render-se e, consequentemente, provocar a rendição de todo o país num único dia."
Batalha da Fortaleza Eben-Emael,1940,"50.79757, 5.678907","A Batalha da Fortaleza Eben-Emael foi uma batalha entre forças militares belgas e forças alemãs da Luftwaffe que ocorreu entre o dia 10 e 11 de maio de 1940, compondo parte da Batalha da Bélgica, da invasão dos Países Baixos e da França."
